epoch,step,train_loss,val_loss
0,49,0.11871599406003952,
0,99,0.12039639055728912,
0,149,0.10542161762714386,
0,199,0.10568691790103912,
0,224,,0.18627451360225677
1,249,0.0961526483297348,
1,299,0.10733649134635925,
1,349,0.09936486929655075,
1,399,0.11051055788993835,
1,449,0.09920825809240341,
1,449,,0.18543927371501923
2,499,0.1049179956316948,
2,549,0.10781127959489822,
2,599,0.09882699698209763,
2,649,0.0986967533826828,
2,674,,0.18518425524234772
3,699,0.09416630864143372,
3,749,0.10029159486293793,
3,799,0.0929347351193428,
3,849,0.1038297712802887,
3,899,0.10408434271812439,
3,899,,0.185136079788208
4,949,0.09498537331819534,
4,999,0.10187149047851562,
4,1049,0.10634572803974152,
4,1099,0.09888289868831635,
4,1124,,0.18525312840938568
5,1149,0.10164569318294525,
5,1199,0.09498127549886703,
5,1249,0.10450281947851181,
5,1299,0.10660964995622635,
5,1349,0.10520914942026138,
5,1349,,0.18513567745685577
6,1399,0.0977640300989151,
6,1449,0.10734444111585617,
6,1499,0.1003132089972496,
6,1549,0.09802704304456711,
6,1574,,0.1852218359708786
7,1599,0.09948353469371796,
7,1649,0.10182633996009827,
7,1699,0.09783485531806946,
7,1749,0.1026783436536789,
7,1799,0.10738810151815414,
7,1799,,0.18536336719989777
8,1849,0.09821325540542603,
8,1899,0.09800770878791809,
8,1949,0.10059849172830582,
8,1999,0.09811829775571823,
8,2024,,0.18536104261875153
9,2049,0.09609072655439377,
9,2099,0.10467053949832916,
9,2149,0.10057824105024338,
9,2199,0.09594413638114929,
9,2249,0.10111065953969955,
9,2249,,0.1853579431772232
